[[[ Short Speed Tests ]]]

Bulk results are in bytes/cycle, short results are in cycles/hash

Name                             Bulk     1-8 bytes    9-16 bytes  17-24 bytes  28-32 bytes  
SpookyHash2-128                   4.40       56.26        78.56        80.19        78.75  
SuperFastHash                     0.78       39.13        49.74        59.94        70.35  
t1ha0                             2.42       43.17        46.22        54.95        51.88  
t1ha0.aesA                        9.10       40.22        44.81        50.47        55.50  
t1ha0.aesB                       21.38       40.01        45.30        50.91        54.21  
t1ha1                             4.57       33.41        33.10        33.24        35.85  
t1ha2-64                          4.62       40.38        45.64        49.77        45.13  
t1ha2-64.incr                     4.86       73.94        74.82        95.24        80.71  
t1ha2-128                         4.89       61.27        66.33        70.98        61.68  
t1ha2-128.incr                    4.86      102.55        99.21       119.29       106.31  
tabulation-32                     2.20       26.79        28.72        30.43        71.20  
tabulation-64                     3.14       39.84        41.02        42.58        43.80  
TentHash                          1.73       85.88        87.22        89.50       100.35  
UMASH-64                          6.09       40.14        52.25        53.56        54.81  
UMASH-64.reseed                   6.09       40.18        52.58        54.05        53.90  
UMASH-128                         3.82       44.61        55.55        56.50        58.12  
UMASH-128.reseed                  3.82       44.30        55.46        56.60        57.79  
w1hash                            8.14       29.99        33.75        35.74        35.52  
wyhash-32                         1.33       26.80        32.47        38.91        44.56  
wyhash                            6.97       25.71        34.19        35.97        40.84  
wyhash.strict                     5.77       27.42        36.73        38.63        44.50  
x17                               0.25       55.06        87.09       119.36       151.30  
xmsx                              0.67       35.58        47.58        59.52        71.52  
XXH-32                            2.00       44.42        43.31        53.48        48.52  
XXH-64                            4.00       53.45        59.79        65.67        74.68  
XXH3-64                          12.76       32.79        34.00        33.50        35.23  
XXH3-64.regen                    12.76       32.29        33.23        33.07        33.85  
XXH3-64.reinit                   12.76       32.29        33.23        33.08        33.91  
XXH3-128                         12.74       38.04        41.15        40.46        41.87  
XXH3-128.regen                   12.77       37.56        40.27        39.99        41.82  
XXH3-128.reinit                  12.78       37.57        40.27        40.02        41.73  

